episode,reward,reward_ma20,avg_aoi,avg_aoi_ma20,final_aoi,success_updates,service_attempts,success_rate,charge_steps,final_energy,min_energy,queue,epsilon
1,-116.00711847924033,-116.00711847924033,26.5,26.5,51.0,0,43,0.0,38,4017.6997783097154,2017.6997783097154,1126.504565940736,0.97
2,-116.1620055154473,-116.08456199734383,26.5,26.5,51.0,0,40,0.0,31,1956.3978621418746,1872.4700814682462,3115.7043100654996,0.9409
3,-115.73023733910519,-115.96645377793095,26.5,26.5,51.0,0,41,0.0,38,3942.018419788016,1869.899540114265,1202.1859242859055,0.912673
4,-116.4771451126062,-116.09412661159976,26.5,26.5,51.0,0,43,0.0,42,3400.4944621342825,1567.8010524793162,1743.7098821808672,0.8852928099999999
5,-116.77032658215512,-116.22936660571084,26.5,26.5,51.0,0,41,0.0,38,2724.642449701788,1619.2550681047417,2547.459722381914,0.8587340256999999
6,-117.3240921829954,-116.41182086859159,26.5,26.5,51.0,0,42,0.0,30,1497.4696396469476,897.4696396469476,3427.773705896472,0.8329720049289999
7,-117.41450694720527,-116.55506173696497,26.5,26.5,51.0,0,43,0.0,27,626.1072889227931,626.1072889227931,4445.994883285873,0.8079828447811299
8,-116.84357444987094,-116.59112582607823,26.5,26.5,51.0,0,46,0.0,37,3620.326550657666,1620.3265506576658,1323.8777935797812,0.783743359437696
9,-116.62861212987764,-116.59529097094482,26.5,26.5,51.0,0,46,0.0,40,2408.360414418602,2091.1608777999513,2735.843930006926,0.7602310586545651
10,-116.69802175749355,-116.60556404959968,26.5,26.5,51.0,0,44,0.0,26,2159.7445728208922,1684.3281587344352,2912.357599367455,0.7374241268949281
